Song Name,Artist,Length,BPM,Level to Unlock,Difficulty – Easy,Difficulty – Hard,Difficulty – Master,Pack,Track Number,Track Total,Song filename,Art link
The Last Page ,ARForest ,2:09 ,195,,3,5,7,Happy Otaku Pack Vol. 9,1,6,the_last_page,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/f6/The_Last_Page.png/revision/latest?cb=20200430090304
IKAROS ,ETIA feat.Jenga ,1:58 ,175,,4,7,10,Happy Otaku Pack Vol. 9,2,6,ikaros,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/51/IKAROS.jpg/revision/latest?cb=20200430090209
Tsukuyomi ,Halv ,2:13 ,188,,3,6,9,Happy Otaku Pack Vol. 9,3,6,tsukuyomi,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/14/Tsukuyomi.png/revision/latest?cb=20200430090336
Future Stream ,Qutabire ,2:21 ,177,,4,6,8,Happy Otaku Pack Vol. 9,4,6,future_stream,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/3/31/FutureStream.png/revision/latest?cb=20200430090114
FULi AUTO SHOOTER ,MYUKKE. ,1:59 ,145,,4,7,9,Happy Otaku Pack Vol. 9,5,6,fuli_auto_shooter,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/88/FULi_AUTO_SHOOTER.png/revision/latest?cb=20200430090026
GOODFORTUNE ,EBIMAYO ,2:10 ,170,,5,7,9,Happy Otaku Pack Vol. 9,6,6,goodfortune,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/d9/GOODFORTUNE.png/revision/latest?cb=20200430090143
tape/stop/night ,Sugar & Co. ,2:16 ,115,,3,5,7,MUSE RADIO,1,6,tape_stop_night,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6a/Tape_stop_night.png/revision/latest?cb=20200612152349
Pixel Galaxy ,Snail's House ,2:21 ,150,,2,5,8,MUSE RADIO,2,6,pixel_galaxy,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b7/Pixel_Galaxy.png/revision/latest?cb=20200612144332
Notice ,Moe Shop / TORIENA ,1:15 ,125,,4,7,9,MUSE RADIO,3,6,notice,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/2d/Notice.jpg/revision/latest?cb=20200612144053
sᴛʀᴀᴡʙᴇʀʀʏ ɢᴏᴅᴢɪʟʟᴀ ,Sugar & Co. ,2:17 ,128,,2,5,7,MUSE RADIO,4,6,strawberry_godzilla,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/13/S%E1%B4%9B%CA%80%E1%B4%80%E1%B4%A1%CA%99%E1%B4%87%CA%80%CA%80%CA%8F_%C9%A2%E1%B4%8F%E1%B4%85%E1%B4%A2%C9%AA%CA%9F%CA%9F%E1%B4%80.png/revision/latest?cb=20200612152249
OKIMOCHI EXPRESSION ,DISCO BROTHERS ,2:00 ,131,,4,6,10,MUSE RADIO,5,6,okimochi_expression,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/3/36/OKIMOCHI_EXPRESSION.png/revision/latest?cb=20200612151239
君とpool disco ,loopcoda ,1:36 ,128,,4,6,8,MUSE RADIO,6,6,kimi_to_pool_disco,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/ed/%E5%90%9B%E3%81%A8Pool_Disco.png/revision/latest?cb=20200612143638
Legend of Eastern Rabbit -SKY DEFENDER- ,sctl ,1:34 ,160,,4,6,9,Give Up TREATMENT Vol. 9,1,6,legend_of_eastern_rabbit,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/16/Legend_of_Eastern_Rabbit_-SKY_DEFENDER-.png/revision/latest?cb=20200710094241
ENERGY SYNERGY MATRIX ,Tanchiky ,2:03 ,160,,6,8,10,Give Up TREATMENT Vol. 9,2,6,energy_synergy_matrix,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/f9/ENERGY_SYNERGY_MATRIX.png/revision/latest?cb=20200710094321
Punai Punai Genso ~Punai Punai in Wonderland~ ,rissyuu feat.Choko ,2:08 ,271,,2,7,11,Give Up TREATMENT Vol. 9,3,6,punai_punai_genso,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/2e/Punai_Punai_Genso_~Punai_Punai_in_Wonderland~.jpg/revision/latest?cb=20200710094402
Better Graphic Animation ,LUZE ,1:59 ,180,,5,8,11,Give Up TREATMENT Vol. 9,4,6,better_graphic_animation,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6c/Better_Graphic_Animation.png/revision/latest?cb=20200710094435
Variant Cross ,M-UE ,1:59 ,210,,4,7,10,Give Up TREATMENT Vol. 9,5,6,variant_cross,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/0a/Variant_Cross.png/revision/latest?cb=20200710094510
Ultra Happy Miracle Bazoooooka!! ,Hino Isuka vs. Umeboshi Chazuke ,2:00 ,200,,7,9,11,Give Up TREATMENT Vol. 9,6,6,ultra_happy_miracle_bazoooooka,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6e/Ultra_Happy_Miracle_Bazoooooka%21%21.png/revision/latest?cb=20200710094624
Can I friend you on Bassbook? lol ,Camellia feat.Nanahira ,2:20 ,128,,3,6,8,Nanahira Festival,1,6,can_i_friend_you_on_bassbook_lol,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/d7/Can_I_friend_you_on_Bassbook_lol.png/revision/latest?cb=20200731170555
Gaming☆Everything ,Camellia feat.Nanahira ,2:31 ,110~212 ,,5,8,10,Nanahira Festival,2,6,gaming_everything,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/ff/Gaming%E2%98%86Everything.png/revision/latest?cb=20200731170648
"Renji de haochi☆Denshi choriki shiyou chuka ryori 
4000nen rekishi shunkan chori kanryo butouteki ryoricho☆ ",Camellia feat.Nanahira ,2:22 ,60~190 ,,5,7,9,Nanahira Festival,3,6,renji_de_haochi,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/1c/Renji_de_haochi%E2%98%86Denshi_choriki_shiyou_chuka_ryori_4000nen_rekishi_shunkan_chori_kanryo_butouteki_ryorichi%E2%98%86.png/revision/latest?cb=20200731170738
You Make My Life 1UP ,Camellia feat.Nanahira ,1:58 ,180,,4,6,8,Nanahira Festival,4,6,you_make_my_life_1up,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/de/You_Make_My_Life_1UP.jpg/revision/latest?cb=20200731172958
"Newbies take 3 years, geeks 8 years, and internets are forever ",Camellia feat.Nanahira ,2:09 ,216,,6,8,10,Nanahira Festival,5,6,internets_are_forever,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/de/Newbies_take_3_years%2C_geeks_8_years%2C_and_internets_are_forever.png/revision/latest?cb=20200731172757
Onegai!Kon kon Oinarisama ,ARM × Komso feat.Nanahira ,2:17 ,175,,3,6,9,Nanahira Festival,6,6,onegai_kon_kon_oinarisama,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/12/Onegai%21Kon_kon_Oinarisama.png/revision/latest?cb=20200731172852
Heisha Onsha ,Hige Driver ,2:28 ,180,,4,6,8,Happy Otaku Pack Vol. 10,1,6,heisha_onsha,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/fd/Heisha_Onsha.png/revision/latest?cb=20200829010655
Ginevra ,MYUKKE. ,1:53 ,170,,5,7,10,Happy Otaku Pack Vol. 10,2,6,ginevra,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/ee/Ginevra.png/revision/latest?cb=20200829010556
Paracelestia ,Nego_tiator ,2:07 ,184,,5,8,10,Happy Otaku Pack Vol. 10,3,6,paracelestia,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/1a/Paracelestia.png/revision/latest?cb=20200829010803
un secret ,Morimori Atsushi ,2:13 ,190,,2,4,6,Happy Otaku Pack Vol. 10,4,6,un_secret,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6e/Un_secret.png/revision/latest?cb=20200829010901
Good Life ,litmus* ,2:13 ,130,,4,6,8,Happy Otaku Pack Vol. 10,5,6,good_life,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/a2/Goodlife.png/revision/latest?cb=20200829010636
ニニ-nini- ,tezuka(テヅカ) × Qayo ,2:17 ,174,,4,7,9,Happy Otaku Pack Vol. 10,6,6,nini,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/44/Nini.png/revision/latest?cb=20200829010740
